exercise_id,name_ptbr,drive_id,arquivo_original_drive,status
ex_236,Bird dog,18kV8NHcUN7XOVSykFH1pOvxsycs2U_gr,SUPERMAN.MOV,ok
ex_237,Good morning com peso corporal,1gLh92WMRiXARuYRZrMtHmEWmkIH4f64W,GOOD MORNING.MOV,ok
ex_238,Remada curvada com halteres,1TIMnnF5eyxATKR2x70cg4FhkBDom8N0v,REMADA CURVADA COM HALTERES.MOV,ok
ex_239,Remada unilateral com halteres,1gEIrrwZN9tzNW25HEwozyvVdCLzRzBf-,REMADA UNILATERAL COM HALTERES.MOV,ok
ex_240,Pull apart com elástico,19NtPc4W8vIR2cUTAwRDwmXyLmJCObALk,PULL APART COM ELASTICO.MOV,ok
ex_241,Puxada frontal aberta,1I4mEQUjJMSBMV6YxUT973IVL5A3fhhP5,PUXADA NA FRENTE PULLDOWN .MOV,ok
ex_242,Remada baixa na máquina,16NGF02K_L7rsWeDkYFS-abiUUlISQy9T,REMADA BAIXA NA MAQUINA.MOV,ok
ex_243,Pulldown com triângulo,13Pg5i9TK4_anFFSJxnAIKVmR6jZYhUcl,PULLDOWN COM TRIANGULO .MOV,ok
ex_244,Remada cavalinho na maquina pegada aberta,1GgKjCuC6NhkOfmAPC3InIkMD3r2e-1Wz,REMADA CAVALINHO MAQUINA.MOV,ok
ex_245,Deadlift (levantamento terra),1c2KTEP3Z0vGA0wi9T0_6wbu0Gm76B2yS,DEADLIFT TRADICIONAL BARRA.MOV,ok
ex_246,Barra fixa pronada (pull-up),1p4eD1tzkr9DduA06m41UaBg39ZKq7B1D,BARRA FIXA PULL UP.MOV,ok
ex_247,Body row com pegada aberta,1IxJkZP10IhYyvp3IdW_dcoNw6hqLl4sp,BODY ROW COM PEGADA ABERTA.mov,ok
ex_248,Kipping pull-up,1-A3BC-0HtehBvYQ0RUJ3PWOXatenuOxR,KIPPING PULL UP.MOV,ok
ex_249,Prancha com puxada unilateral com elastcio,1bsknRJN4J3ulcJ0sG_xa-lUKB8lkh6GG,PRANCHA COM PUXADA UNILATERAL.MOV,ok
ex_250,Y-W-T Raise no chão,1stKZ5Fhfbjra5VBjReP2X3qL6ckEv6mk,YTW RAISE.MOV,ok
ex_251,Remada com elástico (pegada fechada),1stKZ5Fhfbjra5VBjReP2X3qL6ckEv6mk,YTW RAISE.MOV,ok
ex_252,Pulldown com elástico fixado em cima,1ixdqLkk-AHr5kHGo9YYfTMRa6znWVpnY,PULLDOWN COM ELASTICO.MOV,ok
ex_253,Remada unilateral na maquina,1oLuzfIYMjsZrfJFtAdH1-_i8kkge2qjm,REMADA UNILATERAL NA MAQUINA .MOV,ok
ex_254,Crucifixo inverso no banco inclinado,1LTreOaPEQPLjzugGkbIa32Qb0wyllduW,CRUCIFIXO INVERTIDO NO BANCO INCLINADO.MOV,ok
ex_255,Face Pull com elástico,1zv-0cwtzTCijJmM_pU_TdhZO9WchbFnY,FACE PULL COM ELASTICO.MOV,ok
ex_256,Pullover com halteres,1-oVsv53EVWb1n5g0mU8zk2Q8_ZUuv6O8,PULLOVER COM HALTERES.MOV,ok
ex_257,Pullover no cross ou na máquina,1YzOf_DhqnitZUeDyZpVrL26yTVJKpnJY,PULLOVER NO CROSS.MOV,ok
